17:21:15.851 | 0f c0 09 00 21 1b 18 e6 9e 27 24 32 15 2e a4 f3  |  -98 CRC error
17:21:19.744 | 0f cf 09 b4 18 ec 23 9d 26 cf 22 bf 1c 5b 22 5b  |  -99 CRC error
17:21:20.014 | 0f d0 09 c0 26 6c 1c ad 29 fc 19 7c 22 0a 21 bb  |  -96 CRC error
17:21:20.263 | 0f d1 09 cc 15 85 20 f9 29 64 19 5d 1c e1 20 98  |  -97 CRC error
17:21:20.515 | 0f d2 09 d8 1a 13 1e 61 08 15 1a 74 2a bf 35 fd  |  -97 CRC error
17:21:20.784 | 0f d3 09 e4 1f 3f 1a c7 23 f9 23 04 1f d6 24 55  |  -98 CRC error
17:21:21.035 | 0f d4 09 f0 1d bd 2c 40 2a 7e 30 cd 20 4f 1d 94  | -101 CRC error
17:21:21.306 | 0f d5 09 fc 1e a5 25 19 25 67 1c da 20 bd 1f 0d  |  -99 CRC error
17:21:22.072 | 0f d8 0a 20 2c 77 17 b9 30 4d 2d 7a 5e f7 2a 52  |  -97 CRC error
17:21:22.343 | 0f d9 0a 2c 26 05 1c c2 28 6a 23 ad 2e 35 14 dc  |  -99 CRC error
17:21:22.605 | 0f da 0a 50 15 4a a5 25 18 2a 22 a8 2a 81 14 a4  | -106 CRC error
17:21:22.850 | 0f 55 4a af d5 7a aa aa aa fd 5a af 55 75 25 c7  |  -96 CRC error
17:21:23.639 | 0f da 0a 68 1f 5b 35 c8 1d 4e 22 aa af 94 af 72  | -103 CRC error
17:21:24.929 | 0f e3 0a a4 2c 7f 24 13 19 ec 29 db 12 ec 25 2d  | -102 CRC error
17:21:25.196 | 0f e4 0a d4 1d bc 20 d5 21 15 13 17 20 b7 20 7b  |  -99 CRC error
17:21:25.449 | 0f e5 0a bc 0d bb 28 56 22 2c 20 0e 16 5d 24 cf  | -100 CRC error
17:21:26.229 | 0f e8 0a e0 2d 22 95 aa ea b5 95 7a ad 55 48 a6  |  -96 CRC error
17:21:27.000 | 0f ab 0b 04 20 d5 26 76 23 1c 1e 3a bf 85 eb 55  |  -99 CRC error
17:21:27.529 | 0f ed 0b 1c 1a bf 2a 2c 2f bb 1f 64 18 f0 17 8f  |  -97 CRC error
17:21:28.043 | 0f ef 0b 34 21 dc 21 c0 19 8d 29 97 23 10 28 f6  | -100 CRC error
17:21:28.564 | 4f d1 09 4d 26 b9 58 bd 29 d4 a5 69 14 ef 22 44  | -101 CRC error
17:21:30.893 | 2f fa 0b b8 5f 5d 34 2f 10 00 3f ff ab ff ff ff  | -104 CRC error
17:21:33.478 | 4f 04 0c 70 17 69 13 3b 5b ce 29 46 1d 2f 1c c8  | -102 CRC error
17:21:34.000 | 4f 06 0c 48 1c 48 26 41 20 a6 25 55 20 95 2a 5b  |  -99 CRC error
17:21:34.268 | 2f 07 0c 54 1d 99 1e 55 21 c5 1c 95 1b 4e 1c f7  | -102 CRC error
17:21:34.521 | 0f 08 0c 60 28 4a 23 b8 5e 23 28 47 14 0a 21 5e  | -106 CRC error
17:21:34.788 | 2f 09 0c 6c 29 d6 0e 3a 14 6e 2e a5 2e 91 1f 21  | -101 CRC error
