16:58:16.072 | 0f 00 00 00 13 5d 1f 43 1b 45 25 6f 21 fe 0f 7e  |  -96 CRC error
16:58:16.333 | 0f 01 00 4c 24 ab 2b b0 a5 4b 26 55 1a 56 22 e8  |  -95 CRC error
16:58:16.585 | 0f 02 00 18 14 20 1f 30 25 19 1a 14 23 a8 23 8c  |  -97 CRC error
16:58:16.854 | 0f 03 00 24 19 e2 17 c2 25 4e 1f 4c 27 a4 31 bf  |  -97 CRC error
16:58:17.094 | 0f 04 00 30 1c 08 23 fc 17 c2 22 1b 1c e4 25 de  |  -97 CRC error
16:58:17.370 | ab 55 25 3c a9 56 5f bd 3e 24 17 07 1a ff af ff  |  -94 CRC error
16:58:17.630 | 0f 06 00 48 2a 99 2b 6b 1e 0d 1a 32 22 76 19 1f  |  -97 CRC error
16:58:17.887 | 2e 87 00 54 25 a3 2f dd 25 88 22 b5 1e a8 a8 eb  |  -98 CRC error
16:58:18.138 | 0f 08 00 60 16 6d 12 14 22 7b 2c 67 11 f6 1f a4  |  -97 CRC error
16:58:18.407 | 0f 09 00 6c 12 ef 22 26 29 73 31 88 26 2a 1e 06  | -100 CRC error
16:58:19.444 | 0f 0d 00 9c 31 bd 2d 44 20 a6 12 42 21 f3 20 51  | -101 CRC error
16:58:19.704 | 0d 0e 10 a8 11 4e 25 a4 20 c1 23 31 21 d2 13 7a  | -103 CRC error
16:58:19.960 | 0f 0f 00 b4 1f b9 15 5e 20 af 2b 95 21 60 25 35  |  -96 CRC error
16:58:20.479 | 0f 11 00 cc 21 17 2d 98 26 9a 14 08 1e 5a 1c c6  |  -99 CRC error
16:58:20.735 | 0f 12 00 d8 2d d7 22 e9 1c e0 11 66 28 f0 1e 22  |  -99 CRC error
16:58:21.519 | 0f 15 00 fc 14 8d 10 8a 19 f2 28 e8 16 b1 20 34  | -102 CRC error
16:58:24.097 | 2f 1f 15 74 13 da 2e 11 1f 06 1c 6a a7 56 25 68  |  -99 CRC error
16:58:25.147 | 0f 23 05 a5 27 aa 23 0e 9f 47 17 fb 13 92 21 a2  |  -97 CRC error
16:58:25.924 | 0f 26 01 c8 13 42 22 4a 27 f1 0e ec 26 1b 28 d6  |  -99 CRC error
16:58:27.735 | 0f 2d 02 1c 20 1d 19 fd 1b 24 20 aa 1a 6d 28 76  |  -97 CRC error
16:58:28.511 | 0f 30 02 40 2a 01 2d 49 1e 89 18 08 1c 1c 19 f4  |  -98 CRC error
